x1;x2;y
-0.1676567618;-0.674233731;Pop 1
 0.3753065614; 0.704570705;Pop 1
-2.1064082145; 2.159527005;Pop 1
-1.4823817644; 0.153482391;Pop 1
-2.1415617967; 0.220670394;Pop 1
-0.0802252971;-0.111721199;Pop 1
-0.2909694121;-0.816491933;Pop 1
 1.3699937053; 1.776232798;Pop 1
-1.0656575030;-1.383788102;Pop 1
 0.6105072282;-0.776499136;Pop 1
-0.2302695784;-0.702038538;Pop 1
-0.0270193115;-1.425106764;Pop 1
 0.7533085331;-0.657103269;Pop 1
-2.5661928216;-0.502100222;Pop 1
-0.1611518592; 0.794865172;Pop 1
-0.0934283374;-0.106698988;Pop 1
-0.5379857141; 0.002768830;Pop 1
-1.1783378522; 0.785995039;Pop 1
 0.4899034695; 0.098947971;Pop 1
 0.4804312894;-0.088866153;Pop 1
-0.6669021002; 0.107556225;Pop 1
-0.5418641652; 0.648344071;Pop 1
-1.2981853757; 0.970672821;Pop 1
 1.1603041702; 1.872453148;Pop 1
 0.3976571307; 1.174623748;Pop 1
-0.8425394035;-1.239127540;Pop 1
-0.4390623533;-0.036302910;Pop 1
 2.0454212082; 0.088427950;Pop 1
-1.0680783486; 0.533968826;Pop 1
-0.0210855744;-1.273409687;Pop 1
-0.6095735154; 0.632877804;Pop 1
-0.6967218966; 2.046072573;Pop 1
-0.7173604554; 0.206970694;Pop 1
-0.5810390004; 0.449847480;Pop 1
 0.4243555281; 0.893361815;Pop 1
 0.5526276841;-0.999389485;Pop 1
 0.4862494320;-0.881095420;Pop 1
 0.6200553589;-1.967515489;Pop 1
-0.7649453411; 0.799586275;Pop 1
-0.0030387459;-0.794203648;Pop 1
-0.5093346239;-0.137420019;Pop 1
 0.8388927213;-0.116260685;Pop 1
-0.5254077485; 0.339032417;Pop 1
 0.4236322041; 0.344975835;Pop 1
-0.4896038111;-0.768141964;Pop 1
 1.7480053324;-1.567922850;Pop 1
-0.0456987483;-1.118519925;Pop 1
 0.4735315930;-1.057203126;Pop 1
 0.6713343840;-0.156173831;Pop 1
 0.2451879548;-0.535559640;Pop 1
 2.8711104841; 0.862541467;Pop 1
 0.6316692890; 0.734885296;Pop 1
-0.6208017697; 0.888112983;Pop 1
-1.0696417936; 2.296540586;Pop 1
 0.5233552305; 2.669408955;Pop 1
 0.4637641881; 0.099897665;Pop 1
 1.7115339278; 0.809528681;Pop 1
 0.3552530765; 0.584231544;Pop 1
-1.7413515928;-0.312689243;Pop 1
-1.6346953663;-0.628915479;Pop 1
-0.1144468620;-0.524475007;Pop 1
 1.5779731681;-0.222241692;Pop 1
 2.2148778592; 0.218898747;Pop 1
 2.2405326897;-0.442259048;Pop 1
 1.5633500452; 1.459784250;Pop 1
-0.6937455221; 1.894533943;Pop 1
-0.3031595479;-0.069965981;Pop 1
-0.2064818460;-0.234671655;Pop 1
-2.3093612974; 0.962391708;Pop 1
-0.4867051784; 0.341409168;Pop 1
-0.9794353572; 0.164050554;Pop 1
 1.5461794718; 0.196091645;Pop 1
-1.2591557009;-0.279500287;Pop 1
-0.8180972621;-1.950273880;Pop 1
 0.5942735707;-1.196847209;Pop 1
-1.2416267461; 0.099978895;Pop 1
 0.2395555604; 0.693704180;Pop 1
 0.9038593946; 0.168635557;Pop 1
 0.4819557313; 0.112409608;Pop 1
 0.0153334582;-0.267837442;Pop 1
-0.9496919654;-2.664121369;Pop 1
-0.8101518898; 0.088505749;Pop 1
 2.7708538563;-1.167387327;Pop 1
-0.0312189755; 0.248277106;Pop 1
 0.2312898363;-0.873908622;Pop 1
 0.9314977536; 0.020906248;Pop 1
 0.3194350046;-0.116414765;Pop 1
 2.0885417865; 0.963574400;Pop 1
 0.6609347792; 0.381150714;Pop 1
-0.3506608132; 0.999636312;Pop 1
-0.1722101704; 1.365580737;Pop 1
-0.2647743642; 0.576514227;Pop 1
-1.0224675928;-1.257080306;Pop 1
 0.6989283118;-0.847893311;Pop 1
 0.0626859697; 0.705705774;Pop 1
-1.0004966834; 2.203604934;Pop 1
-0.3710748349; 0.306516744;Pop 1
 0.4657696150; 0.523976259;Pop 1
-0.8182046315; 2.142443006;Pop 1
-0.3639713846;-1.921887885;Pop 1
-1.0342374185;-0.760546298;Pop 1
 0.4460049452;-0.025069781;Pop 1
 1.3212102889; 0.714524821;Pop 1
-0.7190127716;-1.401501929;Pop 1
 0.1674279642;-1.301004285;Pop 1
 0.8689171528; 0.092948557;Pop 1
 0.0344890135;-0.022389384;Pop 1
-0.3643521248; 0.245591089;Pop 1
 1.5219156228; 1.055134256;Pop 1
-0.6333203685; 1.166761333;Pop 1
-0.1314285850;-0.752235768;Pop 1
-1.2809568096; 0.032419376;Pop 1
-0.8409337589; 0.062259923;Pop 1
 1.1458833628; 0.530432623;Pop 1
-1.1837716635;-0.082539696;Pop 1
-1.4577375265;-1.923486010;Pop 1
 0.3317465409;-2.287749570;Pop 1
 0.5189851678;-1.349203590;Pop 1
 2.0176588859;-0.460420696;Pop 1
-0.3956240220;-0.150387456;Pop 1
 0.8025512285;-1.378027198;Pop 1
-0.9537053344; 0.905110022;Pop 1
 1.9141621040;-0.157853853;Pop 1
 1.6632903152;-0.426474900;Pop 1
 1.3823344467;-0.045213135;Pop 1
 1.4549117978;-1.807683004;Pop 1
 2.3593089766;-0.323958604;Pop 1
 0.0654694412; 0.761329906;Pop 1
-0.0684902073;-0.207249201;Pop 1
 0.7149229213; 0.296581009;Pop 1
 1.4937061136; 1.718474982;Pop 1
 0.7654051404;-0.228194541;Pop 1
-0.0004792237; 0.248408343;Pop 1
-1.3730953800; 1.887767735;Pop 1
 2.5548979647; 0.200133796;Pop 2
 2.9806430286; 0.433808469;Pop 2
 3.4284307071; 1.119001407;Pop 2
 1.5385761783; 2.802839480;Pop 2
 1.9206093671; 1.552894516;Pop 2
 2.9603100109; 0.250157288;Pop 2
 2.8058915544; 2.360468403;Pop 2
 1.5180460582; 1.590613013;Pop 2
 2.0079858232; 2.596991792;Pop 2
 2.2142667078; 0.596603355;Pop 2
 1.7460637534; 0.459394098;Pop 2
 0.3586309153; 2.604762992;Pop 2
-0.1334707338; 0.225361426;Pop 2
 1.0986755861; 1.412425635;Pop 2
 0.7263176826; 1.478174399;Pop 2
 1.0941358221; 0.018732698;Pop 2
 4.1023294031; 2.211017105;Pop 2
 0.6625083060; 1.367959490;Pop 2
 0.5850272120; 1.347294874;Pop 2
 2.3471681101; 2.007618488;Pop 2
 3.1353718964; 2.140964381;Pop 2
 0.9376726195; 1.667007083;Pop 2
 0.8768171502; 0.198369992;Pop 2
 0.7144923101; 1.694983596;Pop 2
 1.5899202632; 0.307031993;Pop 2
 1.8820285425; 1.253276132;Pop 2
 1.6447099577; 3.497240446;Pop 2
 2.4605086533; 1.335405090;Pop 2
 1.5223228934; 2.193639579;Pop 2
-0.0868306815; 2.470230727;Pop 2
 0.8761792131; 1.388935045;Pop 2
 2.4000575374; 2.465032733;Pop 2
 1.2141560216; 0.782464228;Pop 2
 0.8613925055; 2.308624010;Pop 2
 3.0748358746; 2.768198197;Pop 2
 1.3852082249; 2.756866325;Pop 2
 1.9926238671; 2.791540365;Pop 2
 1.4509949608; 2.070619832;Pop 2
 2.1827084157; 2.573209896;Pop 2
 2.9536263336; 1.810209846;Pop 2
 0.5595593513; 1.391834333;Pop 2
 0.8233442206; 0.851305345;Pop 2
 0.8705879682; 1.464283798;Pop 2
 2.1666434571; 1.679760127;Pop 2
 0.7575976302; 1.698066955;Pop 2
 0.9997911802; 3.153942169;Pop 2
 1.5770625323;-0.506403190;Pop 2
 1.4631950292; 2.435673424;Pop 2
 3.0639450538; 2.235883080;Pop 2
 1.1064555473; 1.496164962;Pop 2
 2.0991631189; 3.683084296;Pop 2
 3.2948173850; 2.759024771;Pop 2
 2.5352507304; 0.652337280;Pop 2
 0.9119939522; 1.666975658;Pop 2
 0.9281721242; 0.815543461;Pop 2
 1.2416185082; 1.882248032;Pop 2
 0.4653294131; 1.878115557;Pop 2
 2.2786402060; 2.024365854;Pop 2
 0.0340689745;-0.058878904;Pop 2
 3.8124750699; 1.513005226;Pop 2
 2.4458957149; 1.344066393;Pop 2
 0.7553062342; 3.609433486;Pop 2
 2.3576687937; 1.323759184;Pop 2
 1.9905707362; 0.623078504;Pop 2
 1.1472991636; 1.457808262;Pop 2
-0.3765229346; 3.093581482;Pop 2
 0.7276328535; 0.041301238;Pop 2
 2.8241643494; 0.968291614;Pop 2
 2.2382748689; 1.861604421;Pop 2
 2.3481290830; 0.416533534;Pop 2
 1.2288474482; 0.117356699;Pop 2
 2.4260495496; 2.288237491;Pop 2
 0.6384512779; 1.951893962;Pop 2
 1.9905820667; 1.204450931;Pop 2
 0.4101308817;-0.475761784;Pop 2
 0.3721548535; 0.258359691;Pop 2
 2.7791001015; 0.143520256;Pop 2
 1.8380444108; 1.911422693;Pop 2
 2.4268933698; 1.835059130;Pop 2
 0.2731631627; 2.569395823;Pop 2
 2.2422185421; 2.831600757;Pop 2
 1.9515463653; 4.053155372;Pop 2
 1.5095698217; 0.584810342;Pop 2
 1.2577948655; 0.703106759;Pop 2
 0.2592139793; 2.006398808;Pop 2
 3.3330879549; 2.016146098;Pop 2
 0.8630172221; 0.937014034;Pop 2
 3.1321007256; 1.658905545;Pop 2
 1.3369363181; 1.434111497;Pop 2
 2.2783112354; 1.380618342;Pop 2
 2.2563976845; 1.624909111;Pop 2
 1.2442555830; 2.306688624;Pop 2
 2.5974873333; 0.904224960;Pop 2
 2.5961558022; 0.537054041;Pop 2
 1.6513537791; 1.266605222;Pop 2
 1.8693984123; 0.708703806;Pop 2
 2.2247043476; 1.735450400;Pop 2
 2.8499036967;-0.368249290;Pop 2
 0.0419699803; 3.595333941;Pop 2
 0.5086184697; 2.237249111;Pop 2
 2.6791849848; 2.286480263;Pop 2
 1.1835809843; 3.382069449;Pop 2
 2.0250556772; 0.732332273;Pop 2
 3.0645633843; 1.203218992;Pop 2
 1.1563639207;-0.096810515;Pop 2
 0.9396929169; 2.277766759;Pop 2
 1.9158126127;-0.095557733;Pop 2
 2.1321642757; 2.133197788;Pop 2
-0.0619803338; 1.453071490;Pop 2
 2.3726931473; 1.112161724;Pop 2
-0.3254408673; 1.063154209;Pop 2
 1.9937460347; 1.984151993;Pop 2
 1.0895195672; 2.059912258;Pop 2
 0.2073167117; 3.221527200;Pop 2
 2.9972308526; 2.530731512;Pop 2
 3.8916309967; 0.224528046;Pop 2
 0.3642290507;-0.038263426;Pop 2
 1.9790242240; 2.423740781;Pop 2
 1.5941345384; 1.214702648;Pop 2
 1.4530813358; 1.963165378;Pop 2
 0.2869120876; 2.333479280;Pop 2
 0.8392466412; 1.570449117;Pop 2
 1.8033036619; 0.738143942;Pop 2
 2.1043568632; 1.513255652;Pop 2
 2.6898805407; 1.322730708;Pop 2
 2.3381177719; 1.576087081;Pop 2
 2.2998286266; 0.922422957;Pop 2
 1.2481403757; 1.562372031;Pop 2
 3.7600251112; 1.529877797;Pop 2
 0.0356293351; 2.263451972;Pop 2
 1.8547463895; 1.425198088;Pop 2
 1.6257644691; 1.457051756;Pop 2
 1.4105934737;-0.537930071;Pop 2
 1.8306161642; 2.147858384;Pop 2
 3.9162783547; 2.774118779;Pop 2
 1.6435769455; 0.554795062;Pop 2
 1.1202990546; 1.735366654;Pop 2
 0.3128916803; 1.759708492;Pop 2
 2.0755329292; 1.576306363;Pop 2
 1.0432024142; 1.224006570;Pop 2
 1.4360448099; 1.294334334;Pop 2
 0.8089337577; 3.303170687;Pop 2
 1.8244252001; 0.894723939;Pop 2
 0.6458625105; 0.174181709;Pop 2
 2.4593446288;-0.538397133;Pop 2
 2.5845684803;-0.476223347;Pop 2
 2.1343671339; 2.310583807;Pop 2
 2.8159030832; 0.738836401;Pop 2
 0.7558837509; 1.058733329;Pop 2
 0.1167664065; 1.926655266;Pop 2
 1.9466456001; 1.452817082;Pop 2
 3.4605032548; 0.584702818;Pop 2
 1.4893779785; 0.813734982;Pop 2
 1.2597949319; 2.452620414;Pop 2
 1.1596725983; 2.814748656;Pop 2
 2.0705087182; 3.506965701;Pop 2
 2.5137478334; 1.699084892;Pop 2
 1.0981086130;-0.215326352;Pop 2
 1.2003662326; 1.609575211;Pop 2
 1.4062322058; 0.049992009;Pop 2
 1.6269296063; 0.464118506;Pop 2
 3.2477036142; 3.128315120;Pop 2
 2.4317913540; 1.241376107;Pop 2
 0.8404342253; 1.897825728;Pop 2
 2.2319993278;-0.718108224;Pop 2
 1.9855796444; 0.771481343;Pop 2
 2.5283976620; 3.246666313;Pop 2
 1.3660727670; 3.082246870;Pop 2
 1.7104338037; 0.833364669;Pop 2
 1.1932910891; 0.922766209;Pop 2
 0.1315537399; 1.251023045;Pop 2
 0.6966358522; 3.136294683;Pop 2
 2.1348467347; 1.602615347;Pop 2
 1.4438155914; 1.388346754;Pop 2
 1.1564697049; 2.720911442;Pop 2
 1.6689981022; 1.392748646;Pop 2
 0.8732971380; 2.526700056;Pop 2
-0.1525070371; 2.716425126;Pop 2
 0.9886891546; 0.960482570;Pop 2
 1.2185498597; 0.897162180;Pop 2
 1.0023593735; 3.024804909;Pop 2
 1.9646590076; 0.219263869;Pop 2
 2.6155805587;-0.882634753;Pop 2
 1.2718784365; 1.437473622;Pop 2
 2.1365030160;-0.371842521;Pop 2
 2.4525340402; 4.754931997;Pop 2
 2.6578274381; 2.567057164;Pop 2
 0.8231663607; 1.631624668;Pop 2
 1.1494688829; 1.272238312;Pop 2
 2.7044645599; 1.938490836;Pop 2
-0.2818098579; 3.464328085;Pop 2
 0.7144026059; 1.707426794;Pop 2
 1.0240403451;-0.218497843;Pop 2
-0.5380841001; 1.620170977;Pop 2
 1.9738200962; 0.634929015;Pop 2
 0.8477235479; 1.023219526;Pop 2
 0.8412588057; 1.175252265;Pop 2
 1.4755317395; 1.028875501;Pop 2
 2.5608237514; 3.157414416;Pop 2
 1.8827266568; 2.949888286;Pop 2
